2024-01-19 09:49:31.287568 - idCapteur: 107, x: 2.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.288567 - idCapteur: 106, x: 1.339, y: 8.565, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.289568 - idCapteur: 105, x: 0.734, y: -2.438, z: 2.65, orientation: 90.0, color: 
2024-01-19 09:49:31.290567 - idCapteur: 104, x: -4.005, y: -1.674, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.290567 - idCapteur: 103, x: -3.86, y: 3.484, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.291566 - idCapteur: 102, x: -0.591, y: 3.487, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.292567 - idCapteur: 101, x: -3.132, y: 4.339, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.293566 - idCapteur: 100, x: -3.962, y: 7.931, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.294567 - idCapteur: 153, x: 8.237, y: 2.395, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.294567 - idCapteur: 152, x: 8.112, y: 5.613, z: 2.65, orientation: 90.0, color: 
2024-01-19 09:49:31.295567 - idCapteur: 151, x: 11.442, y: 4.9, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.296568 - idCapteur: 150, x: 11.442, y: 9.249, z: 2.65, orientation: 0.0, color: 
2024-01-19 09:49:31.297764 - idCapteur: 149, x: 15.204, y: 7.775, z: 2.65, orientation: 180.0, color: 
2024-01-19 09:49:31.298568 - idCapteur: 148, x: 15.312, y: 4.93, z: 2.65, orientation: 180.0, color: 
2024-01-19 09:49:31.298568 - idCapteur: 147, x: 17.925, y: 1.714, z: 2.65, orientation: 270.0, color: 
2024-01-19 09:49:31.300571 - idCapteur: 146, x: 17.917, y: -2.415, z: 2.65, orientation: 180.0, color: 
2024-01-19 09:49:31.300571 - idCapteur: 145, x: 14.85, y: -2.715, z: 2.65, orientation: 180.0, color: 
